,id,question,response,correct,time
0,3,Can you see out the back of your head?,1,False,1618780327.903112
1,5,Do you know the Schrödinger equation of quantum theory?,10,False,1618780327.903127
2,6,Do you like chocolate milkshakes?,1,False,1618780327.903132
3,11,Do you know the Schrödinger equation of quantum theory?,1,False,1618780327.903135
4,13,Were you born in the summer?,1,False,1618780327.9031549
5,15,Do you know the Schrödinger equation of quantum theory?,1,False,1618780327.903162
6,17,Can you play poker?,1,False,1618780327.903166
7,18,Have elves always live at the North Pole?,1,False,1618780327.903169
8,19,Did you see Bigfoot?,1,False,1618780327.903174
9,20,Can you see out the back of your head?,1,False,1618780327.903178
10,22,Did you see Bigfoot?,1,False,1618780327.903182
11,23,Can you see the moon?,1,False,1618780327.903187
12,24,Do you know how to swim?,1,False,1618780327.903191
13,25,Are Martians really green?,1,False,1618780327.9031959
14,28,Do you know the Schrödinger equation of quantum theory?,1,False,1618780327.9032
15,29,Have elves always live at the North Pole?,1,False,1618780327.903203
16,30,Is your shoe size 14?,1,False,1618780327.903208
17,31,Can cats jump six times their length?,1,False,1618780327.903213
18,32,Were you on Survivor last year?,1,False,1618780327.903218
19,33,Do you know how to swim?,1,False,1618780327.903223
20,34,Did you see Bigfoot?,1,False,1618780327.9032269
21,35,Can you see the moon?,1,False,1618780327.903232
22,36,Do you like chocolate milkshakes?,1,False,1618780327.903235
23,37,Do mice really eat cheese?,1,False,1618780327.903239
24,38,Do you believe in Santa Claus?,1,False,1618780327.903244
25,39,Were you in the swamp yesterday?,1,False,1618780327.9032488
26,40,Have elves always live at the North Pole?,1,False,1618780327.903255
27,41,Do mice really eat cheese?,1,False,1618780327.9032588
28,42,Do you believe in ghosts?,1,False,1618780327.903263
29,43,Can cats jump six times their length?,1,False,1618780327.903268
30,44,Did you see Bigfoot?,1,False,1618780327.903272
31,45,Can you play poker?,1,False,1618780327.9032772
32,46,Can you see out the back of your head?,1,False,1618780327.903281
33,47,Do you have a twin?,1,False,1618780327.903285
34,48,Did you see Bigfoot?,1,False,1618780327.903289
35,49,Do mice really eat cheese?,1,False,1618780327.903292
36,50,Have elves always live at the North Pole?,1,False,1618780327.903297
37,51,Can you see the moon?,1,False,1618780327.90331
38,52,Do you believe in ghosts?,1,False,1618780327.903316
39,53,Can you see the moon?,1,False,1618780327.90332
40,54,Can you play poker?,1,False,1618780327.903324
41,55,Do mice really eat cheese?,1,False,1618780327.903327
42,56,Do you like chocolate milkshakes?,1,False,1618780327.903331
43,57,Do mice really eat cheese?,1,False,1618780327.903334
44,58,Can you see the moon?,1,False,1618780327.903337
45,59,Can you see the moon?,1,False,1618780327.903341
46,60,Do mice really eat cheese?,1,False,1618780327.903347
47,61,Did you see Bigfoot?,1,False,1618780327.903353
48,62,Have you ever seen a UFO?,1,False,1618780327.9033558
49,63,Can you play poker?,1,False,1618780327.903361
50,64,Can you make yourself disappear?,1,False,1618780327.9033651
51,65,Do you believe in ghosts?,1,False,1618780327.903369
52,66,Do you believe in ghosts?,1,False,1618780327.903373
53,67,Do you like chocolate milkshakes?,1,False,1618780327.9033768
54,68,Are Martians really green?,1,False,1618780327.903381
55,69,Do you know how to swim?,1,False,1618780327.9033878
56,70,Did you see Bigfoot?,1,False,1618780327.903393
57,71,Can cats jump six times their length?,1,False,1618780327.903397
58,72,Do you know the Schrödinger equation of quantum theory?,1,False,1618780327.9034
59,73,Have elves always live at the North Pole?,1,False,1618780327.903409
60,74,Can you make yourself disappear?,1,False,1618780327.903414
61,75,Do you know how to swim?,1,False,1618780327.903531
62,76,Can cats jump six times their length?,1,False,1618780327.90354
